list_size,threads,time_seconds,speedup_serial,efficiency_serial,speedup_1thread,efficiency_1thread
50000,0,0.8657,1.00,100.00,0.00,0.00
50000,1,1.1582,0.75,74.74,1.00,100.00
50000,2,0.5776,1.50,74.95,2.01,100.27
50000,4,0.4443,1.95,48.71,2.61,65.17
100000,0,4.6066,1.00,100.00,0.00,0.00
100000,1,5.2744,0.87,87.34,1.00,100.00
100000,2,2.6027,1.77,88.49,2.03,101.32
100000,4,1.7770,2.59,64.81,2.97,74.20
500000,0,124.8082,1.00,100.00,0.00,0.00
500000,1,140.3952,0.89,88.90,1.00,100.00
500000,2,72.4348,1.72,86.15,1.94,96.91
500000,4,50.6863,2.46,61.56,2.77,69.25
50000,0,0.8836,1.00,100.00,0.00,0.00
50000,1,1.1171,0.79,79.10,1.00,100.00
50000,2,0.5492,1.61,80.45,2.03,101.70
50000,4,0.3765,2.35,58.68,2.97,74.18
100000,0,4.4414,1.00,100.00,0.00,0.00
100000,1,5.1340,0.87,86.51,1.00,100.00
100000,2,2.5837,1.72,85.95,1.99,99.35
100000,4,1.7373,2.56,63.91,2.96,73.88
500000,0,124.7876,1.00,100.00,0.00,0.00
500000,1,140.9698,0.89,88.52,1.00,100.00
500000,2,72.5804,1.72,85.97,1.94,97.11
500000,4,50.3366,2.48,61.98,2.80,70.01
50000,0,0.8432,1.00,100.00,0.00,0.00
50000,1,1.1014,0.77,76.56,1.00,100.00
50000,2,0.5618,1.50,75.04,1.96,98.02
50000,4,0.3756,2.25,56.13,2.93,73.31
100000,0,4.4288,1.00,100.00,0.00,0.00
100000,1,5.2048,0.85,85.09,1.00,100.00
100000,2,2.7239,1.63,81.30,1.91,95.54
100000,4,1.8052,2.45,61.33,2.88,72.08
500000,0,126.4098,1.00,100.00,0.00,0.00
500000,1,141.9377,0.89,89.06,1.00,100.00
500000,2,73.0939,1.73,86.47,1.94,97.09
500000,4,51.4638,2.46,61.41,2.76,68.95
50000,0,0.8850,1.00,100.00,0.00,0.00
50000,1,1.1142,0.79,79.43,1.00,100.00
50000,2,0.5679,1.56,77.92,1.96,98.10
50000,4,0.3944,2.24,56.10,2.83,70.63
100000,0,4.4355,1.00,100.00,0.00,0.00
100000,1,5.1263,0.87,86.52,1.00,100.00
100000,2,2.5842,1.72,85.82,1.98,99.19
100000,4,1.7866,2.48,62.07,2.87,71.73
500000,0,125.1802,1.00,100.00,0.00,0.00
500000,1,141.2831,0.89,88.60,1.00,100.00
500000,2,73.8139,1.70,84.79,1.91,95.70
500000,4,51.2695,2.44,61.04,2.76,68.89
50000,0,0.8677,1.00,100.00,0.00,0.00
50000,1,1.1394,0.76,76.15,1.00,100.00
50000,2,0.5716,1.52,75.90,1.99,99.67
50000,4,0.3908,2.22,55.51,2.92,72.89
100000,0,4.4485,1.00,100.00,0.00,0.00
100000,1,5.1468,0.86,86.43,1.00,100.00
100000,2,2.6979,1.65,82.44,1.91,95.38
100000,4,1.7952,2.48,61.95,2.87,71.67
500000,0,125.6140,1.00,100.00,0.00,0.00
500000,1,142.3136,0.88,88.27,1.00,100.00
500000,2,73.7859,1.70,85.12,1.93,96.44
500000,4,51.1651,2.46,61.38,2.78,69.54
